"AOP_ID"	"Vs"	"Es"	"MIEs"	"AOs"	"origins"	"termini"	"borrow"	"adjE"	"non_adjE"	"weakC"	"strongC"	"LAOPS"	"ADJ_LAOPS"	"max_laoc"
"3"	7	8	1	1	1	1	0	7	1	1	1	2	1	2
"4"	17	17	2	2	2	2	0	16	1	2	1	3	2	2
"6"	26	27	3	3	3	3	0	24	3	3	1	6	3	3
"7"	31	31	4	5	4	5	0	28	3	4	1	8	5	3
"10"	37	36	5	6	5	6	0	33	3	5	1	9	6	3
"12"	44	44	6	8	6	8	1	41	3	5	1	16	11	7
"13"	48	51	6	8	6	8	7	48	3	5	1	19	14	7
"14"	54	56	7	8	7	9	7	53	3	6	1	19	14	7
"15"	58	61	8	9	8	10	7	56	5	7	1	22	15	7
"16"	64	72	9	10	9	11	8	63	9	7	1	34	20	12
"17"	69	80	10	10	11	12	12	69	11	7	1	49	25	19
"18"	76	88	11	11	12	13	13	77	11	7	1	53	29	19
"19"	81	94	12	12	13	14	13	81	13	8	1	56	30	19
"21"	86	99	13	12	14	15	13	85	14	9	1	56	30	19
"23"	94	111	14	13	15	16	15	93	18	9	1	71	34	19
"25"	95	112	15	13	16	16	22	94	18	9	1	75	37	20
"26"	103	119	16	14	17	19	22	101	18	10	1	76	38	20
"27"	111	128	17	15	18	20	22	110	18	11	1	79	41	20
"28"	117	133	18	16	19	21	22	115	18	12	1	80	42	20
"29"	124	139	19	19	20	24	24	121	18	13	1	83	45	20
"30"	125	140	20	19	21	24	29	122	18	13	1	84	46	20
"31"	135	152	21	20	22	28	29	132	20	14	1	90	48	20
"32"	141	157	21	20	23	29	29	137	20	15	1	90	48	20
"33"	144	159	22	21	24	30	29	139	20	16	1	91	49	20
"34"	155	173	24	21	26	31	29	153	20	17	1	91	49	20
"36"	163	180	27	22	29	32	29	160	20	18	1	94	52	20
"37"	167	184	27	23	29	33	30	164	20	18	1	95	53	20
"38"	173	191	28	24	30	34	31	170	21	18	1	112	61	36
"39"	178	196	29	25	31	35	31	174	22	19	1	114	62	36
"40"	181	200	30	26	32	36	33	177	23	19	1	120	65	36
"41"	186	207	31	27	33	37	33	181	26	20	1	124	66	36
"42"	194	219	32	28	34	38	33	188	31	21	1	134	67	36
"43"	199	223	33	29	35	39	33	192	31	22	1	135	68	36
"46"	205	231	34	30	37	40	33	197	34	23	1	139	69	36
"48"	209	238	35	30	38	40	38	203	35	23	1	213	103	100
"51"	212	242	35	30	38	40	43	207	35	23	1	215	105	100
"54"	215	253	36	30	39	40	50	212	41	22	1	313	129	160
"57"	224	270	36	31	39	42	54	229	41	20	1	337	153	160
"58"	231	288	38	31	41	42	63	244	44	20	1	404	190	160
"60"	236	297	39	31	42	42	70	252	45	20	1	424	199	160
"61"	242	306	41	31	45	43	74	259	47	19	1	460	219	160
"62"	244	309	42	31	46	43	76	261	48	19	1	467	221	160
"63"	248	313	42	33	46	45	77	265	48	19	1	469	223	160
"64"	252	319	43	33	47	45	80	271	48	19	1	483	237	160
"72"	261	333	44	34	49	46	81	283	50	19	2	487	241	160
"77"	266	340	45	35	50	47	83	289	51	19	2	672	304	294
"78"	269	345	45	36	50	48	88	293	52	19	2	978	394	600
"79"	270	347	45	36	50	48	92	295	52	19	2	981	397	600
"80"	274	353	45	38	50	50	96	299	54	19	2	999	403	600
"81"	276	357	45	38	51	50	99	301	56	19	2	1752	493	1350
"82"	276	357	45	38	51	50	103	301	56	19	2	1752	493	1350
"84"	278	360	45	38	51	49	107	304	56	18	2	1757	496	1350
"85"	278	361	45	38	51	49	112	305	56	18	2	1763	499	1350
"86"	282	366	45	38	52	49	115	310	56	18	2	2063	589	1650
"87"	283	368	45	38	52	49	122	312	56	18	2	2214	635	1800
"88"	284	370	45	38	52	49	128	314	56	18	2	2226	644	1812
"89"	284	370	45	38	52	49	136	314	56	18	2	2226	644	1812
"90"	284	371	45	38	52	49	144	315	56	18	2	2238	653	1824
"91"	290	378	46	41	53	52	144	320	58	19	2	2244	656	1824
"93"	290	378	46	41	53	52	148	320	58	19	2	2244	656	1824
"94"	292	382	46	42	53	53	152	323	59	18	2	2257	661	1824
"95"	293	383	47	42	54	53	157	324	59	18	2	2268	667	1824
"96"	298	388	48	42	55	53	158	329	59	18	2	2270	669	1824
"97"	308	405	49	44	56	55	158	341	64	19	3	2294	675	1824
"98"	310	408	49	44	56	55	161	344	64	18	3	2296	677	1824
"99"	315	415	50	45	57	56	163	351	64	17	3	2775	836	2295
"100"	319	421	50	45	57	56	166	357	64	16	3	2779	840	2295
"101"	322	426	50	46	57	57	170	362	64	16	3	2793	854	2295
"102"	329	434	50	46	57	57	173	370	64	16	3	2797	858	2295
"103"	331	437	50	46	57	57	181	373	64	16	3	2801	862	2295
"104"	334	440	51	46	58	57	182	376	64	16	3	2803	864	2295
"105"	340	445	52	47	59	58	182	381	64	17	3	2804	865	2295
"106"	346	451	53	48	60	59	182	386	65	18	3	2806	866	2295
"107"	349	455	54	48	61	59	184	390	65	18	3	2811	871	2295
"108"	353	460	55	48	62	59	186	395	65	17	3	2814	874	2295
"109"	358	464	56	49	63	60	186	399	65	18	3	2815	875	2295
"110"	364	469	57	50	64	61	186	404	65	19	3	2816	876	2295
"111"	369	473	58	51	65	62	186	408	65	20	3	2817	877	2295
"112"	375	478	59	52	66	63	186	413	65	21	3	2818	878	2295
"113"	380	483	60	53	67	64	187	418	65	21	3	2835	888	2295
"114"	386	488	61	54	68	65	187	423	65	22	3	2836	889	2295
"115"	389	492	62	54	69	65	189	427	65	21	3	2839	892	2295
"116"	391	495	63	54	70	65	191	430	65	21	3	2842	895	2295
"117"	392	496	64	54	71	65	194	431	65	21	3	2844	897	2295
"118"	394	498	65	54	72	65	196	433	65	21	3	2845	898	2295
"119"	395	500	65	54	72	65	202	435	65	20	3	2846	899	2295
"120"	398	503	66	54	73	65	204	438	65	20	3	2847	900	2295
"121"	403	507	67	55	74	66	204	442	65	21	3	2848	901	2295
"122"	406	510	68	56	75	67	211	445	65	21	3	2866	909	2295
"123"	408	512	69	56	76	67	220	447	65	21	3	2872	913	2295
"124"	414	517	70	57	77	68	220	452	65	22	3	2873	914	2295
"128"	424	541	71	58	78	69	221	476	65	22	3	3322	1064	2655
"130"	435	566	72	59	79	70	221	501	65	23	3	3346	1088	2655
"131"	440	571	72	60	79	71	222	506	65	23	3	3347	1089	2655
"134"	440	571	72	60	79	71	232	506	65	23	3	3347	1089	2655
"136"	446	578	73	61	80	72	233	512	66	23	3	3354	1093	2655
"138"	453	587	74	61	81	72	235	521	66	23	4	3360	1099	2655
"139"	454	589	74	62	81	73	238	522	67	23	4	3363	1100	2655
"144"	457	595	75	63	82	74	242	525	70	22	4	4760	1440	3855
"148"	467	608	76	64	83	75	242	536	72	23	4	4765	1443	3855
"149"	476	619	77	65	84	76	243	547	72	23	4	5114	1559	4155
"150"	478	623	77	66	84	76	248	551	72	22	4	5119	1563	4155
"154"	483	627	78	67	85	77	248	555	72	23	4	5120	1564	4155
"155"	490	638	79	67	86	77	249	563	75	23	4	5128	1566	4155
"156"	490	640	79	67	86	77	256	563	77	23	4	5132	1566	4155
"157"	491	642	80	67	87	77	263	564	78	23	4	5142	1568	4155
"158"	491	643	80	67	87	77	270	564	79	23	4	5144	1568	4155
"159"	491	644	80	67	87	77	278	565	79	23	4	5152	1574	4155
"160"	496	651	81	67	88	77	280	571	80	23	4	5167	1583	4155
"161"	498	654	82	67	89	77	285	574	80	23	4	5185	1598	4155
"162"	505	660	82	68	90	78	285	580	80	24	4	5185	1598	4155
"163"	512	668	83	68	91	82	286	587	81	24	4	5186	1599	4155
"164"	518	673	84	69	92	83	286	592	81	25	4	5187	1600	4155
"165"	528	683	84	71	94	85	286	602	81	26	4	5187	1600	4155
"166"	535	690	84	72	95	87	286	608	82	27	4	5187	1600	4155
"167"	542	696	85	73	96	88	286	614	82	28	4	5188	1601	4155
"168"	551	706	85	74	97	90	286	623	83	29	4	5188	1601	4155
"169"	553	709	85	75	97	90	291	626	83	29	4	5188	1601	4155
"170"	556	713	85	75	98	90	293	629	84	29	4	5188	1601	4155
"171"	560	719	85	76	99	91	295	635	84	29	4	5195	1605	4155
"173"	568	726	86	77	100	92	295	642	84	30	4	5196	1606	4155
"175"	571	729	86	78	100	93	298	645	84	30	4	5200	1609	4155
"177"	574	732	87	78	101	93	306	648	84	30	4	5204	1613	4155
"178"	574	733	87	78	101	93	310	648	85	30	4	5212	1613	4155
"179"	575	734	87	78	102	93	312	649	85	30	4	5212	1613	4155
"180"	575	734	87	78	102	93	315	649	85	30	4	5212	1613	4155
"181"	575	734	87	78	102	93	317	649	85	30	4	5212	1613	4155
"182"	575	734	87	78	102	93	320	649	85	30	4	5212	1613	4155
"183"	576	735	87	78	103	93	323	650	85	30	4	5212	1613	4155
"184"	576	735	87	78	103	93	326	650	85	30	4	5212	1613	4155
"185"	576	735	87	78	103	93	328	650	85	30	4	5212	1613	4155
"186"	578	737	88	78	104	93	333	652	85	30	4	5216	1617	4155
"187"	586	744	89	79	105	94	333	659	85	31	4	5217	1618	4155
"188"	587	745	90	79	106	94	339	660	85	31	4	5627	1726	4515
"189"	587	746	90	79	106	94	343	661	85	31	4	5628	1727	4515
"190"	587	747	90	79	106	94	346	662	85	31	4	5629	1728	4515
"191"	589	749	91	79	107	94	347	664	85	31	4	5630	1729	4515
