"AOP_ID"	"Vs"	"Es"	"MIEs"	"AOs"	"origins"	"termini"	"borrow"	"adjE"	"non_adjE"	"weakC"	"strongC"	"LAOPS"	"ADJ_LAOPS"
1	4	3	1	1	1	1	0	3	0	1	0	1	1
3	11	11	2	2	2	2	0	10	1	2	1	3	2
4	16	16	3	3	3	3	0	14	2	3	1	5	3
6	25	26	4	4	4	4	0	22	4	4	1	8	4
7	30	30	5	6	5	6	0	26	4	5	1	10	6
8	39	39	6	7	7	9	0	32	7	8	1	10	6
10	45	44	7	8	8	10	0	37	7	9	1	11	7
11	46	44	8	8	8	11	0	37	7	10	1	11	7
12	54	62	9	10	9	13	1	50	12	9	1	39	21
13	57	70	9	10	9	13	7	56	14	9	1	68	34
14	64	76	10	11	10	15	0	62	14	10	1	69	35
15	68	81	11	12	11	16	0	65	16	11	1	72	36
16	74	96	12	13	12	17	1	73	23	11	2	95	41
17	79	102	13	13	13	17	2	79	23	11	2	105	49
18	86	112	14	14	14	18	1	88	24	11	2	113	55
19	91	118	15	15	15	19	0	92	26	12	2	116	56
21	96	123	16	15	16	20	0	97	26	12	2	116	56
23	104	137	17	16	17	21	2	106	31	11	2	140	62
25	105	138	18	16	18	21	7	107	31	11	2	145	65
26	113	146	19	17	19	24	0	115	31	11	2	172	78
27	121	159	20	18	20	25	0	124	35	11	2	207	95
28	127	164	21	19	21	26	0	129	35	12	2	208	96
29	134	170	22	22	22	29	2	135	35	13	2	211	99
30	135	171	23	22	23	29	5	136	35	13	2	212	100
31	145	183	24	23	24	33	0	146	37	14	2	218	102
32	151	188	24	23	25	34	0	151	37	15	2	218	102
33	153	190	25	24	26	35	1	153	37	15	2	221	105
34	163	206	26	24	28	35	0	169	37	14	2	221	105
36	171	214	29	24	31	36	0	177	37	14	2	221	105
38	177	225	30	25	32	37	1	186	39	14	3	318	147
39	179	226	31	25	33	38	0	187	39	15	3	318	147
40	184	231	32	26	34	39	0	191	40	16	3	320	148
41	189	238	33	27	35	40	0	195	43	17	3	324	149
42	192	244	34	28	35	40	5	198	46	17	3	429	173
43	197	249	35	29	36	41	0	203	46	17	3	430	174
