"","x"
"1","8"
"2","54"
"3","54"
"4","54"
"5","66"
"6","66"
"7","78"
"8","78"
"9","89"
"10","111"
"11","111"
"12","111"
"13","112"
"14","115"
"15","116"
"16","327"
"17","327"
"18","140"
"19","167"
"20","167"
"21","179"
"22","179"
"23","220"
"24","220"
"25","221"
"26","231"
"27","232"
"28","233"
"29","239"
"30","252"
"31","258"
"32","264"
"33","281"
"34","285"
"35","291"
"36","295"
"37","307"
"38","309"
"39","177"
"40","401"
"41","280"
"42","451"
"43","456"
"44","458"
"45","460"
"46","457"
"47","454"
"48","463"
"49","462"
"50","462"
"51","465"
"52","468"
"53","470"
"54","245"
"55","245"
"56","471"
"57","472"
"58","476"
"59","474"
"60","477"
"61","475"
"62","746"
"63","747"
"64","748"
"65","756"
"66","758"
"67","757"
"68","772"
"69","749"
"70","1028"
"71","1029"
"72","1032"
"73","1033"
"74","1045"
"75","1046"
"76","1056"
"77","1047"
"78","1049"
"79","1050"
"80","1052"
"81","1051"
"82","1064"
"83","1065"
"84","1066"
"85","1067"
"86","1068"
"87","1069"
"88","1088"
"89","1181"
"90","1182"
"91","1183"
"92","1187"
"93","1188"
"94","1192"
"95","1189"
"96","1190"
"97","1191"
"98","1239"
"99","1240"
"100","1194"
"101","1241"
"102","1242"
"103","1270"
"104","1271"
"105","1272"
"106","1273"
"107","1274"
"108","1275"
"109","176"
"110","360"
"111","360"
"112","363"
"113","364"
"114","346"
"115","339"
"116","319"
"117","459"
"118","459"
"119","773"
"120","1034"
"121","1035"
"122","1036"
"123","1037"
"124","1053"
"125","1054"
"126","1070"
"127","1193"
"128","1213"
"129","1196"
"130","1276"
"131","Decreased, 3-hydroxyacyl-CoA dehydrogenase type-2 activity"
"132","Up Regulation, CD36"
"133","Up Regulation, CD36"
"134","Up Regulation, CD36"
"135","Activation, ChREBP"
"136","Activation, ChREBP"
"137","Reduction, Cumulative fecundity and spawning"
"138","Reduction, Cumulative fecundity and spawning"
"139","Synthesis, De Novo FA"
"140","Agonism, Estrogen receptor"
"141","Agonism, Estrogen receptor"
"142","Agonism, Estrogen receptor"
"143","Antagonism, Estrogen receptor"
"144","Increase, FA Influx"
"145","Activation, FAS"
"146","Accumulation, Fatty acid"
"147","Accumulation, Fatty acid"
"148","Decreased, HSD17B10 expression"
"149","Activation, LXR"
"150","Activation, LXR"
"151","Decreased, Mitochondrial fatty acid beta-oxidation"
"152","Decreased, Mitochondrial fatty acid beta-oxidation"
"153","Increase, Plasma vitellogenin concentrations"
"154","Increase, Plasma vitellogenin concentrations"
"155","Reduction, Plasma vitellogenin concentrations"
"156","Decreased, PPAR-alpha activation"
"157","Decreased, PPAR-beta activation"
"158","Decreased, PPAR-gamma activation"
"159","Activation, Pregnane-X receptor, NR1l2"
"160","Increase, Renal pathology due to VTG deposition"
"161","Activation, SCD-1"
"162","Activation, SREBP-1c"
"163","Thyroxine (T4) in serum, Decreased"
"164","Reduction, Vitellogenin synthesis in liver"
"165","Accumulation, Triglyceride"
"166","Induction, Upregulation of glucuronyltransferase activity"
"167","Increase, Vitellogenin synthesis in liver"
"168","Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development"
"169","N/A, Mitochondrial dysfunction 1"
"170","Increase, Biliary excretion TH glucuronide"
"171","Thyroxine (T4) in neuronal tissue, Decreased"
"172","Inhibition, Mitochondrial fatty acid beta-oxidation"
"173","Suppression, Constitutive androstane receptor, NR1l3"
"174","Increased, De Novo FA synthesis"
"175","Increased, Fatty acid uptake"
"176","Activation, SREBF1"
"177","Increased, Triglyceride formation"
"178","Up Regulation, FAS"
"179","Up Regulation, SCD-1"
"180","Up Regulation, SCD-1"
"181","Increased, FA Influx"
"182","Inhibition, PPAR alpha"
"183","Up Regulation, Acetyl-CoA carboxylase-1 (ACC-1)"
"184","Activation, PXR/SXR"
"185","Activation, PXR/SXR"
"186","Inhibition, FoxA2"
"187","Down Regulation, CPT1A"
"188","Accumulation, Hepatic FA"
"189","Down Regulation, HMGCS2"
"190","Decreased, Ketogenesis"
"191","Increased, Hepatic Triglycerides"
"192","Increase, Dopaminergic activity"
"193","Decreased, Prolactin"
"194","Increased, Estrogen receptor (ER) activity"
"195","Hippocampal gene expression, Altered"
"196","Hippocampal Physiology, Altered"
"197","Hippocampal anatomy, Altered"
"198","Increase, Hyperplasia (glandular epithelial cells of endometrium)"
"199","Decreased, Progesterone from corpus luteum"
"200","Activation of specific nuclear receptors, PPAR-gamma activation"
"201","Increased, adipogenesis"
"202","Increased, secretion of local growth factors"
"203","Increased, proliferation of mesenchymal cells"
"204","Decreased, Ovarian E2"
"205","Suppression, Estrogen receptor (ER) activity"
"206","Decrease, E2 blood concentrations at hypothalamus"
"207","Increased, secretion of GnRH from hypothalamus"
"208","Increased, secrection of FSH from anterior pituitary"
"209","Increased, secretion of LH from anterior pituitary"
"210","Hyperplasia, ovarian epithelium"
"211","Hyperplasia, ovarian stromal cells"
"212","prepubertal increase, Estrogen receptor (ER) activity"
"213","Activation, estrogen receptor alpha"
"214","Promotion, SIX-1 postive basal-type progenitor cells"
"215","Proliferation/Clonal Expansion, aberrant basal cells"
"216","squamous metaplasia, aberrant basal cells"
"217","Increased, Hyperplasia (glandular epithelial cells of endometrium)"
"218","Increased, Oxidative Stress"
"219","Activation, Estrogen receptor"
"220","Increase, Cell Proliferation (Epithelial Cells)"
"221","Decreased, Apoptosis (Epithelial Cells)"
"222","Increased, ER binding to DNA (classical pathway)"
"223","Increased, ER binding to T.F. to DNA (non-classical pathway)"
"224","Increased, Ductal Hyperplasia"
"225","Increased, Proliferation (Endothelial cells)"
"226","Increased, Migration (Endothelial Cells)"
"227","Increased, Non-genomic signaling"
"228","Altered, Gene Expression"
"229","Altered, Protein Production"
"230","Increased, DNA Damage"
"231","Increased, Motility"
"232","Increased, Second Messenger Production"
"233","Inactivation of PPAR?"
"234","Activation of TGF-? signaling"
"235","Differentiation of Myofibroblast"
"236","Expression of Collagen"
"237","Production of ?-smooth muscle actin"
"238","Collagen Deposition"
"239","Damaging, Mitochondria"
"240","Decrease, Population trajectory"
"241","Decrease, Population trajectory"
"242","Altered, Reproductive behaviour"
"243","Impaired development of, Reproductive organs"
"244","Undefined, Liver Steatosis"
"245","Altered, Larval development"
"246","Loss, Cochlear function"
"247","Increased, Liver Steatosis"
"248","Increased, Liver Steatosis"
"249","Increase, Endometrial adenocarcinomas"
"250","Increased, IGF-1 (mouse)"
"251","Increased, Firbrosarcoma"
"252","Increased, liposarcoma"
"253","Increased, hemagiosarcoma"
"254","Promotion, ovarian adenomas"
"255","Promotion, ovarian granular cell tumors"
"256","Increased, adenosquamous carcinomas of endometrium"
"257","N/A, Breast Cancer"
"258","Increased, Angiogenesis"
"259","Increased, Invasion"
"260","Lung fibrosis"
