"","V.AOPg..ca_kes..KE_EID","V.AOPg..ca_kes..KE_name"
"1",8,"Decreased, 3-hydroxyacyl-CoA dehydrogenase type-2 activity"
"2",54,"Up Regulation, CD36"
"3",54,"Up Regulation, CD36"
"4",54,"Up Regulation, CD36"
"5",66,"Activation, ChREBP"
"6",66,"Activation, ChREBP"
"7",78,"Reduction, Cumulative fecundity and spawning"
"8",78,"Reduction, Cumulative fecundity and spawning"
"9",89,"Synthesis, De Novo FA"
"10",111,"Agonism, Estrogen receptor"
"11",111,"Agonism, Estrogen receptor"
"12",111,"Agonism, Estrogen receptor"
"13",112,"Antagonism, Estrogen receptor"
"14",115,"Increase, FA Influx"
"15",116,"Activation, FAS"
"16",327,"Accumulation, Fatty acid"
"17",327,"Accumulation, Fatty acid"
"18",140,"Decreased, HSD17B10 expression"
"19",167,"Activation, LXR"
"20",167,"Activation, LXR"
"21",179,"Decreased, Mitochondrial fatty acid beta-oxidation"
"22",179,"Decreased, Mitochondrial fatty acid beta-oxidation"
"23",220,"Increase, Plasma vitellogenin concentrations"
"24",220,"Increase, Plasma vitellogenin concentrations"
"25",221,"Reduction, Plasma vitellogenin concentrations"
"26",231,"Decreased, PPAR-alpha activation"
"27",232,"Decreased, PPAR-beta activation"
"28",233,"Decreased, PPAR-gamma activation"
"29",239,"Activation, Pregnane-X receptor, NR1l2"
"30",252,"Increase, Renal pathology due to VTG deposition"
"31",258,"Activation, SCD-1"
"32",264,"Activation, SREBP-1c"
"33",281,"Thyroxine (T4) in serum, Decreased"
"34",285,"Reduction, Vitellogenin synthesis in liver"
"35",291,"Accumulation, Triglyceride"
"36",295,"Induction, Upregulation of glucuronyltransferase activity"
"37",307,"Increase, Vitellogenin synthesis in liver"
"38",309,"Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development"
"39",177,"N/A, Mitochondrial dysfunction 1"
"40",401,"Increase, Biliary excretion TH glucuronide"
"41",280,"Thyroxine (T4) in neuronal tissue, Decreased"
"42",451,"Inhibition, Mitochondrial fatty acid beta-oxidation"
"43",456,"Suppression, Constitutive androstane receptor, NR1l3"
"44",458,"Increased, De Novo FA synthesis"
"45",460,"Increased, Fatty acid uptake"
"46",457,"Activation, SREBF1"
"47",454,"Increased, Triglyceride formation"
"48",463,"Up Regulation, FAS"
"49",462,"Up Regulation, SCD-1"
"50",462,"Up Regulation, SCD-1"
"51",465,"Increased, FA Influx"
"52",468,"Inhibition, PPAR alpha"
"53",470,"Up Regulation, Acetyl-CoA carboxylase-1 (ACC-1)"
"54",245,"Activation, PXR/SXR"
"55",245,"Activation, PXR/SXR"
"56",471,"Inhibition, FoxA2"
"57",472,"Down Regulation, CPT1A"
"58",476,"Accumulation, Hepatic FA"
"59",474,"Down Regulation, HMGCS2"
"60",477,"Decreased, Ketogenesis"
"61",475,"Increased, Hepatic Triglycerides"
"62",746,"Increase, Dopaminergic activity"
"63",747,"Decreased, Prolactin"
"64",748,"Increased, Estrogen receptor (ER) activity"
"65",756,"Hippocampal gene expression, Altered"
"66",758,"Hippocampal Physiology, Altered"
"67",757,"Hippocampal anatomy, Altered"
"68",772,"Increase, Hyperplasia (glandular epithelial cells of endometrium)"
"69",749,"Decreased, Progesterone from corpus luteum"
