AOP_ID	FROM_KE	TO_KE	KER_ID	DIRECT_INDIRECT	EVIDENCE	QUANTITATIVE_UNDERSTANDING
Aop:1	Event:294	Event:57	Relationship:324	directly leads to	2	
Aop:1	Event:57	Event:142	Relationship:69	directly leads to	2	
Aop:1	Event:142	Event:334	Relationship:158	directly leads to	1	
Aop:3	Event:177	Event:889	Relationship:904	directly leads to	2	3
Aop:3	Event:889	Event:890	Relationship:905	directly leads to	1	2
Aop:3	Event:188	Event:890	Relationship:906	directly leads to	2	2
Aop:3	Event:890	Event:188	Relationship:907	directly leads to	2	2
Aop:3	Event:177	Event:890	Relationship:908	indirectly leads to	2	3
Aop:3	Event:890	Event:896	Relationship:910	directly leads to	1	1
Aop:3	Event:888	Event:887	Relationship:933	directly leads to	1	3
Aop:3	Event:887	Event:177	Relationship:934	directly leads to	1	2
Aop:4	Event:103	Event:1264	Relationship:1343	directly leads to	1	3
Aop:4	Event:1264	Event:1265	Relationship:1344	directly leads to	1	3
Aop:4	Event:1265	Event:988	Relationship:1345	directly leads to	2	3
Aop:4	Event:988	Event:1266	Relationship:1346	directly leads to	2	3
Aop:4	Event:1266	Event:1267	Relationship:1347	directly leads to	2	3
Aop:4	Event:1267	Event:1268	Relationship:1348	directly leads to	2	3
Aop:4	Event:1268	Event:993	Relationship:1349	directly leads to	2	3
Aop:4	Event:993	Event:990	Relationship:1010	directly leads to	2	3
Aop:4	Event:990	Event:351	Relationship:1190	directly leads to	1	1
Aop:6	Event:858	Event:859	Relationship:878	directly leads to	1	1
Aop:6	Event:858	Event:860	Relationship:879	directly leads to	1	1
Aop:6	Event:858	Event:861	Relationship:880	directly leads to	2	2
Aop:6	Event:859	Event:860	Relationship:881	indirectly leads to	2	2
Aop:6	Event:860	Event:861	Relationship:882	directly leads to	1	2
Aop:6	Event:861	Event:862	Relationship:883	directly leads to	1	2
Aop:6	Event:862	Event:863	Relationship:884	indirectly leads to	2	3
Aop:6	Event:863	Event:864	Relationship:885	directly leads to	1	1
Aop:6	Event:998	Event:1000	Relationship:1023	indirectly leads to	1	2
Aop:6	Event:1000	Event:858	Relationship:1024	directly leads to	1	2
Aop:7	Event:219	Event:405	Relationship:392	directly leads to	1	
Aop:7	Event:3	Event:219	Relationship:5	directly leads to	1	
Aop:7	Event:405	Event:406	Relationship:394	indirectly leads to	2	
Aop:7	Event:408	Event:3	Relationship:396	directly leads to	2	
Aop:8	Event:283	Event:284	Relationship:313	indirectly leads to	3	
Aop:8	Event:284	Event:267	Relationship:314	directly leads to	3	
Aop:8	Event:267	Event:319	Relationship:297	directly leads to	2	
Aop:8	Event:239	Event:136	Relationship:264	directly leads to	2	
Aop:8	Event:136	Event:135	Relationship:149	indirectly leads to	2	
Aop:8	Event:259	Event:283	Relationship:285	directly leads to	2	3
Aop:8	Event:239	Event:295	Relationship:265	directly leads to	1	3
Aop:8	Event:71	Event:295	Relationship:85	directly leads to	2	3
Aop:8	Event:295	Event:259	Relationship:381	indirectly leads to	1	3
Aop:8	Event:401	Event:259	Relationship:382	directly leads to	2	3
Aop:8	Event:295	Event:401	Relationship:1060	directly leads to	2	
Aop:10	Event:667	Event:64	Relationship:666	directly leads to	1	1
Aop:10	Event:64	Event:669	Relationship:667	directly leads to	1	1
Aop:10	Event:616	Event:613	Relationship:630	directly leads to	1	2
Aop:10	Event:669	Event:682	Relationship:683	directly leads to	1	2
Aop:10	Event:682	Event:616	Relationship:684	directly leads to	2	2
Aop:12	Event:201	Event:195	Relationship:229	directly leads to	1	
Aop:12	Event:195	Event:52	Relationship:213	directly leads to	1	
Aop:12	Event:52	Event:381	Relationship:347	directly leads to	1	
Aop:12	Event:381	Event:55	Relationship:353	directly leads to	1	
