AOPs	Relationships	Upstream KE	Downstream KE	Directness	Evidence	Quantitative Understanding
8	313	"Decrease, Tissue thyroid hormone concentration"	"Decrease, TR-regulated cochlear proteins"	Indirectly leads to	Weak	
8	314	"Decrease, TR-regulated cochlear proteins"	"Damage, Structure of the cochlea"	Directly leads to	Weak	
8	297	"Damage, Structure of the cochlea"	"Loss, Cochlear function"	Directly leads to	Moderate	
8	264	"Activation, Pregnane-X receptor, NR1l2"	"Up Regulation, Hepatic transporter gene expression"	Directly leads to	Moderate	
8	149	"Up Regulation, Hepatic transporter gene expression"	"Increase, Hepatic transport of parent T4"	Indirectly leads to	Moderate	
8	285	"Decrease, Serum thyroxine (T4)"	"Decrease, Tissue thyroid hormone concentration"	Directly leads to	Moderate	Weak
8	265	"Activation, Pregnane-X receptor, NR1l2"	"Induction, Upregulation of glucuronyltransferase activity"	Directly leads to	Strong	Weak
8	85	"Activation, Constitutive androstane receptor, NR1l3"	"Induction, Upregulation of glucuronyltransferase activity"	Directly leads to	Moderate	Weak
8	381	"Induction, Upregulation of glucuronyltransferase activity"	"Decrease, Serum thyroxine (T4)"	Indirectly leads to	Strong	Weak
8	382	"Increase, Biliary excretion TH glucuronide"	"Decrease, Serum thyroxine (T4)"	Directly leads to	Moderate	Weak
8	1060	"Induction, Upregulation of glucuronyltransferase activity"	"Increase, Biliary excretion TH glucuronide"	Directly leads to	Moderate	
42	309	"Thyroperoxidase, Inhibition"	"TH synthesis, Decreased"	Directly leads to	Strong	Weak
42	305	"TH synthesis, Decreased"	"T4 in serum, Decreased"	Directly leads to	Strong	Moderate
42	366	"Thyroperoxidase, Inhibition"	"T4 in serum, Decreased"	Indirectly leads to	Strong	Moderate
42	312	"T4 in serum, Decreased"	"T4 in neuronal tissue, Decreased"	Directly leads to	Moderate	Weak
42	746	"T4 in neuronal tissue, Decreased"	"Hippocampal gene expression, Altered"	Directly leads to	Moderate	Weak
42	747	"Hippocampal gene expression, Altered"	"Hippocampal anatomy, Altered"	Directly leads to	Moderate	Weak
42	749	"Hippocampal anatomy, Altered"	"Hippocampal Physiology, Altered"	Directly leads to	Moderate	Weak
42	748	"Hippocampal Physiology, Altered"	"Cognitive Function, Decreased"	Directly leads to	Strong	Moderate
