AOP	AOP name	Event	Level of Organisation	Event Action	Action
Aop:1	Uncharacterized liver damage leading to hepatocellular carcinoma	Event:294	Molecular	N/A	
Aop:1	Uncharacterized liver damage leading to hepatocellular carcinoma	Event:57	Cellular	Proliferation	increased process quality
Aop:1	Uncharacterized liver damage leading to hepatocellular carcinoma	Event:142	Tissue	Hyperplasia	increased object quality
Aop:1	Uncharacterized liver damage leading to hepatocellular carcinoma	Event:334	Individual	Promotion	increased object quality
Aop:3	Inhibition of the mitochondrial complex I of nigra-striatal neurons leads to parkinsonian motor deficits	Event:888	Molecular	Binding of inhibitor	decreased process quality
Aop:3	Inhibition of the mitochondrial complex I of nigra-striatal neurons leads to parkinsonian motor deficits	Event:887	Cellular	Inhibition	decreased process quality
Aop:3	Inhibition of the mitochondrial complex I of nigra-striatal neurons leads to parkinsonian motor deficits	Event:177	Cellular	N/A	damage
Aop:3	Inhibition of the mitochondrial complex I of nigra-striatal neurons leads to parkinsonian motor deficits	Event:889	Cellular	impaired	deviation(from_normal)
Aop:3	Inhibition of the mitochondrial complex I of nigra-striatal neurons leads to parkinsonian motor deficits	Event:188	Tissue	N/A	pathological
Aop:3	Inhibition of the mitochondrial complex I of nigra-striatal neurons leads to parkinsonian motor deficits	Event:890	Organ	Increased	increased object quality
Aop:3	Inhibition of the mitochondrial complex I of nigra-striatal neurons leads to parkinsonian motor deficits	Event:896	Individual	Increased	occurrence
Aop:4	Ecdysone receptor agonism leading to mortality	Event:103	Molecular	Activation	increased process quality
Aop:4	Ecdysone receptor agonism leading to mortality	Event:988	Cellular	Decreased	deviation(from_normal)
Aop:4	Ecdysone receptor agonism leading to mortality	Event:990	Organ	Increased	increased process quality
Aop:4	Ecdysone receptor agonism leading to mortality	Event:993	Organ	Decreased	increased process quality
Aop:4	Ecdysone receptor agonism leading to mortality	Event:351	Individual	Increase	increased process quality
Aop:6	Antagonist binding to PPARalpha leading to starvation-like body-weight loss	Event:998	Molecular	Binding of antagonist	decreased process quality
Aop:6	Antagonist binding to PPARalpha leading to starvation-like body-weight loss	Event:1000	Molecular	stabilization	increased process quality
Aop:6	Antagonist binding to PPARalpha leading to starvation-like body-weight loss	Event:1000	Molecular	stabilization	increased process quality
Aop:6	Antagonist binding to PPARalpha leading to starvation-like body-weight loss	Event:858	Molecular	Decreased	decreased process quality
Aop:6	Antagonist binding to PPARalpha leading to starvation-like body-weight loss	Event:859	Molecular	Decreased	decreased process quality
Aop:6	Antagonist binding to PPARalpha leading to starvation-like body-weight loss	Event:860	Molecular	Decreased	decreased process quality
Aop:6	Antagonist binding to PPARalpha leading to starvation-like body-weight loss	Event:861	Molecular	Decreased	decreased process quality
Aop:6	Antagonist binding to PPARalpha leading to starvation-like body-weight loss	Event:862	Tissue	Not Increased	deviation(from_normal)
Aop:6	Antagonist binding to PPARalpha leading to starvation-like body-weight loss	Event:862	Tissue	Not Increased	deviation(from_normal)
Aop:6	Antagonist binding to PPARalpha leading to starvation-like body-weight loss	Event:863	Organ	Increased	increased process quality
Aop:6	Antagonist binding to PPARalpha leading to starvation-like body-weight loss	Event:864	Individual	Decreased	decreased object quality 
Aop:7	Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female	Event:408	Cellular	reduction in ovarian granulosa cells	decreased process quality
Aop:7	Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female	Event:219	Organ	Reduction	decreased object quality 
Aop:7	Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female	Event:219	Organ	Reduction	decreased concentration
Aop:7	Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female	Event:3	Cellular	Reduction	decreased process quality
Aop:7	Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female	Event:406	Individual	impaired	decreased object quality
Aop:7	Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female	Event:405	Individual	irregularities	disrupted
Aop:8	"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals"	Event:239	Molecular	Activation	increased process quality
Aop:8	"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals"	Event:295	Molecular	Induction	increased process quality
Aop:8	"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals"	Event:401	Organ	Increase	increased process quality
Aop:8	"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals"	Event:281	Tissue	Decreased	decreased object quality 
Aop:8	"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals"	Event:281	Tissue	Decreased	decreased concentration
Aop:8	"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals"	Event:280	Organ	Decreased	decreased object quality 
