"SUID","KED","name","selected","shared name","type"
"62","MIE","NSAID","false","Node 39","chemical_stressor"
"63","KE","leukocyte activation","false","Node 38","activity"
"64","KE","leukocyte adherence","false","Node 37","activity"
"65","KE","angiogenesis","false","Node 36","activity"
"66","KE","mucosal blood flow","false","Node 35","activity"
"67","KE","platelet aggregation","false","Node 34","activity"
"68","KE","PTGS2","false","Node 33","protein"
"69","KE","mucosal defense","false","Node 22","activity"
"70","AO","gastric ulcer","false","Node 21","outcome"
"71","KE","mucous","false","Node 26","metabolite"
"72","KE","bicarbonate","false","Node 27","ion"
"73","KE","surfactant","false","Node 28","metabolite"
"74","MIE","Helicobacter pylori","false","Node 29","stressor"
"75","KE","phospholipase","false","Node 30","protein"
"76","KE","NH4+","false","Node 31","ion"
"77","KE","PTGS1","false","Node 32","protein"
