"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Event Type","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"1013","3.5","0.00378788","0.28571429","0.0","6","2","KE","1","false","""Increased, Hepatic thyroid hormone uptake/transport""","2.5","1","0","false","0","""Increased, Hepatic thyroid hormone uptake/transport""","1"
"1014","3.0","0.0","0.33333333","0.0","6","2","MIE","0","false","""Activation, Hepatic nuclear receptor(s)""","3.5","2","0","false","0","""Activation, Hepatic nuclear receptor(s)""","0"
"1015","2.86666667","0.0","0.34883721","0.0","5","1","MIE","0","false","""Inhibition, Dual oxidase""","8.0","1","0","false","0","""Inhibition, Dual oxidase""","0"
"1016","2.86666667","0.0","0.34883721","0.0","5","1","MIE","0","false","""Inhibition, Pendrin""","8.0","1","0","false","0","""Inhibition, Pendrin""","0"
"1017","1.0","0.00107527","1.0","0.0","1","2","KE","1","false","""Increased, Triiodothyronine (T3) in tissues""","1.5","1","0","false","0","""Increased, Triiodothyronine (T3) in tissues""","1"
"1018","1.5","0.0","0.66666667","0.0","2","1","MIE","0","false","""Inhibition, Deiodinase 3""","2.0","1","0","false","0","""Inhibition, Deiodinase 3""","0"
"1019","3.6875","0.0","0.27118644","0.0","6","1","MIE","0","false","""Inhibition, Iodotyrosine deiodinase (IYD)""","3.0","1","0","false","0","""Inhibition, Iodotyrosine deiodinase (IYD)""","0"
"1020","0.0","0.0","0.0","0.0","0","2","AO","2","false","""Altered, Amphibian metamorphosis""","3.0","0","0","false","0","""Altered, Amphibian metamorphosis""","0"
"1021","1.0","0.01182796","1.0","0.0","1","4","KE","3","false","""Decreased, Triiodothyronine (T3) in tissues""","3.0","1","0","false","0","""Decreased, Triiodothyronine (T3) in tissues""","11"
"1022","1.5","0.0172043","0.66666667","0.0","2","2","KE","1","false","""Decreased, Thyroxine (T4) in tissues""","6.0","1","0","false","0","""Decreased, Thyroxine (T4) in tissues""","16"
"1023","1.66666667","0.0","0.6","0.25","3","4","MIE","0","false","""Inhibition, Deiodinase 1""","5.0","4","0","false","0","""Inhibition, Deiodinase 1""","0"
"1024","1.5","0.00107527","0.66666667","0.0","2","2","KE","1","false","""Reduced, Hearing""","5.0","1","0","false","0","""Reduced, Hearing""","2"
"1025","1.75","0.00591398","0.57142857","0.2","3","6","KE","4","false","""Reduced, Anterior swim bladder inflation""","3.8333333333333335","2","0","false","0","""Reduced, Anterior swim bladder inflation""","7"
"1026","0.0","0.0","0.0","0.0","0","1","AO","1","false","""Decrease, Population trajectory""","4.0","0","0","false","0","""Decrease, Population trajectory""","0"
"1027","1.0","0.00752688","1.0","0.08333333","1","4","AO","3","false","""Reduced, Young of year survival""","3.0","1","0","false","0","""Reduced, Young of year survival""","8"
"1028","1.5","0.00107527","0.66666667","0.33333333","2","3","KE","2","false","""Reduced, Swimming performance""","5.333333333333333","1","0","false","0","""Reduced, Swimming performance""","2"
"1029","1.4","0.00806452","0.71428571","0.23333333","2","6","KE","3","false","""Reduced, Posterior swim bladder inflation""","4.166666666666667","3","0","false","0","""Reduced, Posterior swim bladder inflation""","9"
"1030","1.83333333","0.0","0.54545455","0.41666667","3","4","KE","2","false","""Decreased, Triiodothyronine (T3) in serum""","5.0","2","0","false","0","""Decreased, Triiodothyronine (T3) in serum""","0"
"1031","1.66666667","0.0","0.6","0.25","3","4","MIE","0","false","""Inhibition, Deiodinase 2""","5.0","4","0","false","0","""Inhibition, Deiodinase 2""","0"
"1032","0.0","0.0","0.0","0.08333333","0","4","AO","4","false","""Impairment, Learning and memory""","4.25","0","0","false","0","""Impairment, Learning and memory""","0"
"1033","1.0","0.00215054","1.0","0.0","1","2","KE","1","false","""Neuronal network function, Decreased""","3.5","1","0","false","0","""Neuronal network function, Decreased""","2"
"1034","1.5","0.01290323","0.66666667","0.16666667","2","3","KE","2","false","""Synaptogenesis, Decreased""","3.3333333333333335","1","0","false","0","""Synaptogenesis, Decreased""","19"
"1035","2.0","0.00752688","0.5","0.33333333","3","3","KE","2","false","""GABAergic interneurons, Decreased""","5.333333333333333","1","0","false","0","""GABAergic interneurons, Decreased""","14"
"1036","1.25","0.01612903","0.8","0.15","2","5","KE","2","false","""BDNF, Reduced""","4.2","3","0","false","0","""BDNF, Reduced""","22"
"1037","2.86666667","0.0311828","0.34883721","0.0","5","3","KE","2","false","""Thyroidal Iodide, Decreased""","3.6666666666666665","1","0","false","0","""Thyroidal Iodide, Decreased""","33"
"1038","3.5625","0.0","0.28070175","0.0","6","2","MIE","0","false","""Inhibition, Na+/I- symporter (NIS)""","3.5","2","0","false","0","""Inhibition, Na+/I- symporter (NIS)""","0"
"1039","0.0","0.0","0.0","0.5","0","2","AO","2","false","""Cognitive Function, Decreased""","5.5","0","0","false","0","""Cognitive Function, Decreased""","0"
"1040","1.0","0.00322581","1.0","0.33333333","1","3","KE","2","false","""Hippocampal Physiology, Altered""","4.333333333333333","1","0","false","0","""Hippocampal Physiology, Altered""","3"
"1041","1.5","0.00430108","0.66666667","0.33333333","2","3","KE","2","false","""Hippocampal anatomy, Altered""","4.666666666666667","1","0","false","0","""Hippocampal anatomy, Altered""","4"
"1042","2.0","0.00322581","0.5","0.33333333","3","3","KE","2","false","""Hippocampal gene expression, Altered""","4.666666666666667","1","0","false","0","""Hippocampal gene expression, Altered""","3"
"1043","2.22222222","0.00537634","0.45","0.16666667","4","3","KE","1","false","""T4 in neuronal tissue, Decreased""","5.333333333333333","2","0","false","0","""T4 in neuronal tissue, Decreased""","5"
"1044","2.0","0.06021505","0.5","0.08928571","4","8","KE","2","false","""T4 in serum, Decreased""","3.25","6","0","false","0","""T4 in serum, Decreased""","56"
"1045","2.0","0.07956989","0.5","0.05357143","4","8","KE","4","false","""TH synthesis, Decreased""","3.375","4","0","false","0","""TH synthesis, Decreased""","86"
"1046","2.26666667","0.0","0.44117647","0.5","4","2","MIE","0","false","""Thyroperoxidase, Inhibition""","8.0","2","0","false","0","""Thyroperoxidase, Inhibition""","0"
"1047","3.0","0.03787879","0.33333333","0.16666667","5","3","KE","2","false","""Increase, Biliary excretion TH glucuronide""","3.3333333333333335","1","0","false","0","""Increase, Biliary excretion TH glucuronide""","5"
"1048","3.28571429","0.0","0.30434783","0.0","6","1","MIE","0","false","""Activation, Constitutive androstane receptor, NR1l3""","5.0","1","0","false","0","""Activation, Constitutive androstane receptor, NR1l3""","0"
"1049","2.66666667","0.13257576","0.375","0.05","5","5","KE","3","false","""Induction, Upregulation of glucuronyltransferase activity""","2.2","2","0","false","0","""Induction, Upregulation of glucuronyltransferase activity""","18"
"1050","2.5","0.18181818","0.4","0.16666667","4","3","KE","2","false","""Decrease, Serum thyroxine (T4)""","3.3333333333333335","1","0","false","0","""Decrease, Serum thyroxine (T4)""","24"
"1051","0.0","0.0","0.0","0.0","0","1","KE","1","false","""Increase, Hepatic transport of parent T4""","2.0","0","0","false","0","""Increase, Hepatic transport of parent T4""","0"
"1052","1.0","0.00757576","1.0","0.0","1","2","KE","1","false","""Up Regulation, Hepatic transporter gene expression""","1.5","1","0","false","0","""Up Regulation, Hepatic transporter gene expression""","1"
"1053","2.88888889","0.0","0.34615385","0.0","6","2","MIE","0","false","""Activation, Pregnane-X receptor, NR1l2""","3.5","2","0","false","0","""Activation, Pregnane-X receptor, NR1l2""","0"
"1054","0.0","0.0","0.0","0.0","0","1","AO","1","false","""Loss, Cochlear function""","2.0","0","0","false","0","""Loss, Cochlear function""","0"
"1055","1.0","0.06818182","1.0","0.0","1","2","KE","1","false","""Damage, Structure of the cochlea""","1.5","1","0","false","0","""Damage, Structure of the cochlea""","9"
"1056","1.5","0.12121212","0.66666667","0.0","2","2","KE","1","false","""Decrease, TR-regulated cochlear proteins""","2.0","1","0","false","0","""Decrease, TR-regulated cochlear proteins""","16"
"1057","2.0","0.15909091","0.5","0.0","3","2","KE","1","false","""Decrease, Tissue thyroid hormone concentration""","2.5","1","0","false","0","""Decrease, Tissue thyroid hormone concentration""","21"
