"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",8
"111",8
"112",8
"113",8
"114",8
"115",8
"116",8
"117",8
"118",8
"119",8
"120",8
"121",8
"122",8
"123",8
"124",8
"125",8
"126",8
"127",8
"128",8
"129",10
"130",10
"131",10
"132",10
"133",15
"134",15
"135",15
"136",15
"137",15
"138",27
"139",27
"140",27
"141",27
"142",27
"143",27
"144",27
"145",27
"146",27
"147",27
"148",27
"149",32
"150",34
"151",34
"152",34
"153",34
"154",34
"155",35
"156",38
"157",38
"158",38
"159",38
"160",38
"161",38
"162",68
"163",68
"164",74
"165",78
"166",81
"167",81
"168",81
"169",81
"170",81
"171",86
"172",86
"173",86
"174",86
"175",86
"176",86
"177",86
"178",86
"179",86
"180",86
"181",86
"182",86
"183",86
"184",86
"185",86
"186",86
"187",86
"188",86
"189",86
"190",86
"191",86
"192",86
"193",96
"194",96
"195",96
"196",96
"197",96
"198",96
"199",96
"200",96
"201",96
"202",96
"203",96
"204",96
"205",287
"206",860
"207",1051
"208",1051
"209",1051
"210",2388
"211",2388
"212",2395
"213",2396
"214",2396
"215",2396
"216",2396
"217",2396
"218",2538
"219",2540
"220",2542
"221",2542
"222",2543
"223",2543
"224",2545
"225",2550
"226",2550
"227",2550
"228",2550
"229",2550
"230",2551
"231",2551
"232",3295
"233",3295
"234",3295
"235",3295
"236",3295
"237",3295
"238",3295
"239",3295
"240",3296
"241",3296
"242",3296
"243",3296
"244",3296
"245",3308
"246",3308
"247",3308
"248",3320
"249",3320
"250",3320
"251",3320
"252",3320
"253",3320
"254",3320
"255",3320
"256",3321
"257",3322
"258",3324
"259",3324
"260",3324
"261",3325
"262",3325
"263",3325
"264",3325
"265",3325
"266",3325
"267",3326
"268",3327
"269",3327
"270",3328
"271",3328
"272",3328
"273",3329
"274",3329
"275",3329
"276",3329
"277",3329
"278",3329
"279",3329
"280",3329
"281",3329
"282",3329
"283",3329
"284",3329
"285",3329
"286",3329
"287",3329
"288",3329
"289",3329
"290",3329
"291",3329
"292",3329
"293",3329
"294",3329
"295",3329
"296",3329
"297",3329
"298",3329
"299",3329
"300",3329
"301",3329
"302",3329
"303",3329
"304",3330
"305",3330
"306",3330
"307",3330
"308",3490
"309",3490
"310",3490
"311",3490
"312",3490
"313",3490
"314",3490
"315",3490
"316",3490
"317",3490
"318",3490
"319",3490
"320",3490
"321",3490
"322",3490
"323",3490
"324",3490
"325",3490
"326",3490
"327",3490
"328",3490
"329",3490
"330",3490
"331",3490
"332",3490
"333",3490
"334",3490
"335",3490
"336",3490
"337",3490
"338",3490
"339",3490
"340",3490
"341",3491
"342",3491
"343",3492
"344",3492
"345",3492
"346",3492
"347",3492
"348",3492
"349",3492
"350",3492
"351",3492
"352",3492
"353",3492
"354",3492
"355",3492
"356",3492
"357",3492
"358",3492
"359",3492
"360",3492
"361",3492
"362",3492
